"parentCustomerID","child_id","ChildCustomerId"
607,609,Chain
610,611,Sales Manager
610,611,Chain
302,612,ii. Hotel
302,612,Chain
302,613,Banquet Sales
302,613,Hotelname
302,614,ii. Hotel
302,614,Chain
614,615,Banquet Sales
614,615,Hotelname
614,616,ii. Hotel
614,616,Chain
303,617,Banquet Sales
303,617,Hotelname
617,618,ii. Hotel
617,618,Chain
303,619,ii. Hotel
303,619,Chain
619,620,ii. Hotel
619,620,Chain
304,621,ii. Hotel
304,621,Chain
304,622,Sales Manager
304,622,Chain
304,623,ii. Hotel
304,623,Chain
304,624,ii. Hotel
304,624,Chain
304,625,ii. Hotel
304,625,Chain
304,626,ii. Hotel
304,626,Chain
627,628,ii. Hotel
627,628,Chain
629,630,ii. Hotel
629,630,Chain
632,633,DOS
632,633,Hotelname
634,635,Reservations
634,635,Hotelname
636,637,Reservations
636,637,Hotelname
2131,637,Reservations
2131,637,Hotelname
638,639,Sales Manager
638,639,Hotelname
638,640,Sales Manager
638,640,Chain
643,644,ii. Hotel
643,644,Chain
643,645,ii. Hotel
643,645,Chain
646,647,Sales Manager
646,647,Chain
648,649,ii. Hotel
648,649,Chain
650,651,ii. Hotel
650,651,Chain
650,652,General Manager
650,652,Hotelname
307,653,Reservations
307,653,Hotelname
307,654,DOS
307,654,Hotelname
654,656,Sales Manager
654,656,Hotelname
307,657,Sales Manager
307,657,Hotelname
657,658,ii. Hotel
657,658,Chain
657,659,Banquet Sales
657,659,Hotelname
657,660,Reservations
657,660,Hotelname
307,661,ii. Hotel
307,661,Chain
661,662,Sales Manager
661,662,Hotelname
661,663,ii. Hotel
661,663,Chain
307,664,ii. Hotel
307,664,Chain
664,665,Sales Manager
664,665,Hotelname
667,666,ii. Hotel
667,666,Chain
307,667,ii. Hotel
307,667,Chain
667,668,Sales Manager
667,668,Hotelname
307,669,Owner
307,669,Hotelname
669,670,General Manager
669,670,Hotelname
308,671,Owner
308,671,Hotelname
308,672,Banquet Sales
308,672,Chain
673,674,iii. Vergader loc.
673,674,iv. Restaurant
673,674,viii. Private Dining
673,674,Chain
